,year,avg_out_strength,avg_out_degree,avg_eigenvector,total_trade,network_centrality
0,1995,233921.0075,0.7683615749999999,0.09532950000000001,935684.03,0.8256669999999999
1,1996,267793.23000000004,0.8206214749999999,0.095576875,1071172.9200000002,0.8564056
2,1997,294412.7375,0.8361582000000001,0.09360655,1177650.95,0.875252575
3,1998,295159.64999999997,0.861581925,0.09463255,1180638.5999999999,0.8904430750000001
4,1999,328538.72500000003,0.8742937749999999,0.094432275,1314154.9000000001,0.9018625
5,2000,405824.37500000006,0.8658191999999999,0.09188675,1623297.5000000002,0.8935282250000001
6,2001,390675.22500000003,0.870056475,0.09095297499999999,1562700.9000000001,0.8980634500000001
7,2002,403135.67499999993,0.8728813499999999,0.09029675,1612542.6999999997,0.8995417
8,2003,450671.60000000003,0.8855932,0.09035779999999999,1802686.4000000001,0.911453375
9,2004,526457.5,0.87288135,0.089080375,2105830.0,0.90350425
10,2005,608025.0,0.8926553749999999,0.089330525,2432100.0,0.9157718499999999
11,2006,731356.725,0.913841825,0.0906489,2925426.9,0.931401275
12,2007,836544.7250000001,0.9364406750000001,0.09175245000000001,3346178.9000000004,0.946212725
13,2008,970098.725,0.9477401249999999,0.0922673,3880394.9,0.953291975
14,2009,749319.65,0.93926555,0.0934139,2997278.6,0.9477207
15,2010,965815.025,0.94350285,0.0925762,3863260.1,0.950420525
